Entrez	symbol	score	cor
15211	Hexa	1.8968622034276	0.932954479168299
192654	Pla2g15	0.586852508401979	0.908490317231129
18807	Pld3	0.709847046465525	0.876709218015646
76893	Cers2	1.1682455800295	0.85656735181814
12091	Glb1	0.932206122519177	0.855399989531653
14595	B4galt1	1.02125254326849	0.829369893362971
26462	Txnrd2	0.998282050497842	0.82622488657801
109652	Acy1	1.02428451550844	0.82165549139533
66881	Pcyox1	0.121778947381538	0.818269334745833
18010	Neu1	0.332726524758618	0.815975261439833
20597	Smpd1	1.08423053986151	0.811342499331451
330260	Pon2	0.58560393295747	0.800886933671284
20322	Sord	0.588616518904804	0.797755030675979
66073	Txndc12	0.777728051077005	0.773135817146948
18797	Plcb3	0.695833993976784	0.753059065600581
245847	Amdhd2	0.0824507643297181	0.740828487658787
14792	Lpcat3	0.601971883647568	0.736458873610712
11689	Alox5	0.531008623352127	0.7334920656427
14590	Ggh	0.559062120952253	0.72850269466809
56209	Gde1	0.368560436589656	0.728380848085564
223753	Cerk	0.297841648786929	0.727865138812778
104418	Dgkz	0.435262948118268	0.715716516513762
55936	Ctps2	0.45739009224578	0.708678958557673
11655	Alas1	0.413525145942989	0.70036877712146
71776	Tha1	-0.0163295787445152	0.689885943826523
67512	Agpat2	0.203191206871411	0.652549178213709
17001	Ltc4s	-0.445621023292001	0.651568173668293
14387	Gaa	0.0791566487265212	0.647830942988857
110695	Aldh7a1	-0.524721112329526	0.63881201262499
52858	Cdipt	-0.118752842072	0.567863747044336
12651	Chkb	-0.257358633477597	0.521884680157051
14854	Gss	-0.843841956783221	0.435965017628733
23887	Ggt5	-0.581991822662815	0.401234199155908
53357	Pla2g6	-0.639252105256264	0.376991388369775
14466	Gba	-0.644017096476402	0.37493028859592
