Entrez	symbol	score	cor
227671	Gbgt1	1.7268724915648	0.919501938630476
14645	Glul	1.45892135033368	0.89717269011768
19224	Ptgs1	1.4365438791202	0.892084320038616
76187	Adhfe1	1.36502205498249	0.871190123392746
18805	Pld1	1.14178982510163	0.84996923448463
75475	Oplah	0.480414823398746	0.843836417650825
11432	Acp2	1.28082255395995	0.83979485639517
269823	Pon3	0.93409296995233	0.836660213888139
19703	Renbp	0.948891181565533	0.836170797496636
74091	Npl	0.922438659621089	0.801137138053891
21391	Tbxas1	0.774548326709805	0.795080495182005
18799	Plcd1	0.338098720109801	0.786692781187996
76192	Abhd12	0.392600025375986	0.781358323499579
54486	Hpgds	0.403301202826881	0.771589755190441
18010	Neu1	-0.332726524758618	0.768240858358425
26879	B3galnt1	0.784034068154494	0.767703739180494
320634	Ocrl	0.698412885658529	0.753500090942635
110695	Aldh7a1	0.524721112329526	0.748940590124884
16956	Lpl	0.113973024205565	0.745048471791347
17001	Ltc4s	0.445621023292001	0.744157598724723
192166	Sardh	0.551978070854752	0.741260017726932
18783	Pla2g4a	0.305981971220603	0.733374873860475
14866	Gstm5	0.535083328013741	0.723952473893647
12409	Cbr2	0.50177126851359	0.717504334515298
66469	Fam213b	0.307668868940026	0.701807099428423
54447	Asah2	0.420536829978162	0.701141376912464
71776	Tha1	0.0163295787445152	0.693376272826196
27052	Aoah	0.354995642084018	0.687251198036821
108682	Gpt2	0.218117507498611	0.656125415225435
14420	Galc	0.12771795559638	0.633888765626915
67861	Akr1b10	0.104262525162847	0.627887855797122
14555	Gpd1	0.0767721228548768	0.620729311963824
11689	Alox5	-0.531008623352127	0.614912282599798
238023	Hexdc	-0.0522247300658243	0.585254959369164
23887	Ggt5	-0.158030110193451	0.553694956425834
212862	Chpt1	-0.251459945005349	0.52383553988004
66988	Lap3	-0.404704443933573	0.470472927911374
11605	Gla	-0.650357379532274	0.372177218809424
235533	Gk5	-0.86077624303289	0.273593937605828
