Entrez	symbol	score	cor
13121	Cyp51	2.38090097434089	0.929670712306805
20775	Sqle	2.23971615520437	0.929288270783675
110196	Fdps	1.63433264892504	0.889158233666963
14137	Fdft1	1.71497820331787	0.878157132806728
208715	Hmgcs1	1.47699348377546	0.856305333320975
66234	Msmo1	1.4083756647103	0.849305753569094
68603	Pmvk	0.881035813861147	0.811664916556383
319554	Idi1	1.01068570420765	0.801475880650394
78894	Aacs	0.602412720331688	0.800498717401086
16987	Lss	0.973961818282956	0.796357570609594
192156	Mvd	0.703331924945438	0.792350725912922
74754	Dhcr24	0.677598962245617	0.78945774111223
18194	Nsdhl	0.855693764722345	0.778960188756408
15357	Hmgcr	0.724400552961378	0.75937511633173
15490	Hsd17b7	0.728512632112681	0.758589677154799
110460	Acat2	0.251075173163891	0.663892012828135
17855	Mvk	0.191645062212533	0.649757310569362
73166	Tm7sf2	-0.849161842575984	0.27941838528744
